report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
new_rep_2,0,0,0.830,0.550,0.820,different,Terra sigillata decorated bowl,--/89-0-0/8128,Dragendorff 29,Dragendorff 29,"--/89-0-0/8128, Drag. 29","496
XX.V Catalogue of decorations, stamps and graffiti
22.6.1 Decorations
South Gaul
--/89-0-0/8128, Drag. 29 (Fig. 22.6"
new_rep_2,17,19,0.830,0.710,0.810,same,Terra sigillata decorated bowl,744-10/100-2-3/8440,Dragendorff 37,Dragendorff 37,"744-10/100-2-3/8440, Drag. 37","Raepsaet XVIII, 90.
Argonne, AD 120-220.
744-10/100-2-3/8440, Drag. 37 (Fig. 22.7)."
new_rep_2,12,14,0.810,0.740,0.800,same,Terra sigillata decorated bowl,--/27-2-24,Dragendorff 37,Dragendorff 37,"--/27-2-24, Drag. 37","Probably ware with ovolo A2, AD 120-190.
--/27-2-24, Drag. 37 (Fig. 22.7)."
new_rep_2,23,26,0.810,0.780,0.800,different,Terra sigillata decorated bowl,334-2/107-3-62 + 737-11/68-4-25,Dragendorff 37,Dragendorff 37,"334-2/107-3-62 + 737-11/68-4-25, Drag. 37","Identical to Zwammerdam pl. 71, 648.
Dexter (or successors), AD 165-210.
334-2/107-3-62 + 737-11/68-4-25, Drag. 37 (Fig."
new_rep_2,20,23,0.780,0.690,0.770,same,Terra sigillata decorated bowl,744-9/100-1-10,Dragendorff 37,Dragendorff 37,"744-9/100-1-10, Drag. 37","Arentsburg g. 18, 9, 13, 20, 25.
Argonne, AD 120-220.
744-9/100-1-10, Drag. 37 (not illustrated)."
new_rep_2,25,28,0.780,0.690,0.770,same,Terra sigillata decorated bowl,--/16-0-0/2706 + 16-3-5/2395,Dragendorff 37,Dragendorff 37,"--/16-0-0/2706 + 16-3-5/2395, Drag. 37","Ovolo F946 above very neat beaded border, arch F800.
Censor/Dexter and successors, AD 165-210.
--/16-0-0/2706 + 16-3-5/2"
new_rep_2,52,61,0.780,0.630,0.770,same,Terra sigillata plate,27-2-27/5067,Dragendorff 18,Dragendorff 18,"27-2-27/5067, Drag. 18","East Gaul, AD 100-270.
[---]MA
27-2-27/5067, Drag. 18 (Fig. 22.11)."
new_rep_2,24,27,0.760,0.780,0.750,same,Terra sigillata decorated bowl,757-17/104-3-5,Dragendorff 37,Dragendorff 37,"757-17/104-3-5, Drag. 37","Scale 1:2/1:3.
501
757-17/104-3-5, Drag. 37 (Fig. 22.8)."
new_rep_2,30,34,0.760,0.720,0.750,same,Terra sigillata decorated bowl,--/1895-12.45/13069,Dragendorff 37,Dragendorff 37,"--/1895-12.45/13069, Drag. 37","R/T pl. 200, 8b, pl. 201, 7F, 9F.
Primitivus IV, AD 185-260.
--/1895-12.45/13069, Drag. 37 (Fig. 22.9)."
new_rep_2,39,40,0.760,0.680,0.650,different,Terra sigillata cup,--/21-3-5/3776,Dragendorff 27,Dragendorff 27,"--/21-3-5/3776, Drag. 27","La Graufesenque, AD 85-100.2021
[---]SF ?
--/21-3-5/3776, Drag. 27 (Fig. 22.10)."
new_rep_2,1,1,0.750,0.660,0.740,different,Terra sigillata decorated bowl,304-1/20-5-8,Dragendorff 29,Dragendorff 29,"304-1/20-5-8, Drag. 29","La Graufesenque, Celadus, AD 50-70.
304-1/20-5-8, Drag. 29 (Fig. 22.6)."
new_rep_2,46,49,0.750,0.570,0.660,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"319-13/110-2-1, Drag. 18/31 or Drag. 31","This stamp is recorded mainly on dishes Drag. 18/31 and cups Drag. 27.
La Madeleine, AD 125-160.
IV[---]?
319-13/110-2-1"
new_rep_2,48,53,0.750,0.630,0.740,same,Terra sigillata plate,--/1932-11.3/13042,Dragendorff 18/31,Dragendorff 18/31,"--/1932-11.3/13042, Drag. 18/31 or Drag. 31","Lavoye, AD 150-165.
TOCCIVS
--/1932-11.3/13042, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,11,12,0.730,0.730,0.720,same,Terra sigillata decorated bowl,--/95-1-18+95-1-60,Dragendorff 37,Dragendorff 37,"--/95-1-18+95-1-60, Drag. 37","Scale 1:2/1:3.
499
--/95-1-18+95-1-60, Drag. 37 (Fig. 22.7)."
new_rep_2,44,44,0.730,0.760,0.700,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"--/95-1-19/10815, dish (probably Drag. 18/31)","Lezoux, AD 140-170.
Illiterate?
--/95-1-19/10815, dish (probably Drag. 18/31)."
new_rep_2,9,10,0.710,0.670,0.700,same,Terra sigillata decorated bowl,--/27-4-7/5351,Dragendorff 37,Dragendorff 37,"--/27-4-7/5351, Drag. 37","Lezoux, Cinnamus, AD 135-170.
Satto/Saturninus
--/27-4-7/5351, Drag. 37 (Fig. 22.6)."
new_rep_2,29,33,0.670,0.700,0.650,different,Terra sigillata decorated bowl,319-8/110-2-1,Dragendorff 37,Dragendorff 37,"319-8/110-2-1, Drag. 37","Gard
pl. 26, 19, 20, 29, Gard pl. 26, 9, 10, 31 and Zwammerdam pl. 60, 713.
Primanus group, AD 230-250.
Rheinzabern
319-"
new_rep_2,6,7,0.650,0.560,0.630,different,Terra sigillata decorated bowl,--/13-3-9/1571,Dragendorff 37,Dragendorff 37,"--/13-3-9/1571, Drag. 37","La Graufesenque, probably L. Cosius, AD 100-120.
Central Gaul
--/13-3-9/1571, Drag. 37 (Fig. 22.6)."
new_rep_2,2,2,0.640,0.560,0.620,different,Terra sigillata decorated bowl,399-2/1953-2.8,Dragendorff 29,Dragendorff 29,"399-2/1953-2.8, Drag. 29","La Graufesenque, AD 70-85.
399-2/1953-2.8, Drag. 29 (Fig. 22.6)."
new_rep_2,19,22,0.610,0.590,0.600,different,Terra sigillata decorated bowl,--/1895-12.42/14465,Dragendorff 37,Dragendorff 37,"--/1895-12.42/14465, Drag. 37","Twisted semi-circular arch Chenet/Gaudron Pl. 57, I and Pl. 61, J, Zwammerdam pl. 66, 580.
Lavoye, AD 120-220.
--/1895-1"
new_rep_2,37,39,0.610,0.550,0.590,different,Terra sigillata plate,--/1953-2.5/13052,Dragendorff 18,Dragendorff 18,"--/1953-2.5/13052, Drag. 18","La Graufesenque, AD 65-85.
OFC[.EN]
--/1953-2.5/13052, Drag. 18 (Fig. 22.10)."
new_rep_2,47,51,0.590,0.560,0.580,same,Terra sigillata plate,--/0-0-0/10402,Dragendorff 18/31,Dragendorff 18/31,"--/0-0-0/10402, Drag. 18/31 or Drag. 31","Trier? AD 100-270.
M[IIRCOF] (?)
--/0-0-0/10402, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,53,62,0.580,0.640,0.560,same,Terra sigillata plate,East gaulish terra sigillata plate,Dragendorff 31,Lud. Sb,"742-3/95-5-8/11211, Drag. 31","South Gaul, AD 70-120.
[---]TVS (Fig. 22.11).
742-3/95-5-8/11211, Drag. 31 (Lud. Sb)
East Gaul, AD 140-270.
?
1932-11.3/"
new_rep_2,4,5,0.570,0.640,0.550,different,Terra sigillata decorated bowl,--/1895-12.43/13072,Dragendorff 37,Dragendorff 37,"“--/1895-12.43/13072, Drag","La Graufesenque, Germanus II or III, AD 65-110.
--/1895-12.43/13072, Drag. 37 (Fig. 22.6)."
new_rep_2,5,,,0.430,0.530,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"--/13-3-15/1588, Drag. 37",
new_rep_2,8,,,0.500,0.470,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"--/0-0-0/12972, Drag. 37",
new_rep_2,10,,,0.490,0.510,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"302-6/100-1-6, Drag. 37",
new_rep_2,21,,,0.460,0.570,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"--/0-0-0/10406, Drag. 37",
new_rep_2,33,,,0.710,0.830,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"--/94-3-5/10503, Drag 37",
new_rep_2,34,,,0.640,0.800,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"--/1895-12.44/13070, Drag 37",
new_rep_2,35,,,0.240,0.690,missing,Terra sigillata,,Dragendorff 27g,,"702-19/7-0-11, Drag. 27g",
new_rep_2,36,,,0.210,0.680,missing,Terra sigillata dish,,,,"--/96-2-1/8220, dish",
new_rep_2,38,,,0.330,0.560,missing,Terra sigillata cup,,,,"--/1932-11.3/13041, cup",
new_rep_2,41,,,0.200,0.770,missing,Terra sigillata,,Dragendorff 27g,,"--/7-1-25/197, Drag. 27g",
new_rep_2,,4,,,,overclaim,,Terra sigillata,,,,Decorated terra sigillata.
new_rep_2,,6,,,,overclaim,,--/13-3-15/1588,,Dragendorff 37,,"La Graufesenque, Germanus III, AD 80-110.
--/13-3-15/1588, Drag. 37 (Fig. 22.6)."
new_rep_2,,9,,,,overclaim,,--/0-0-0/12972,,Dragendorff 37,,"Lezoux, X-6 (style), AD 125-150.
--/0-0-0/12972, Drag. 37 (Fig. 22.6)."
new_rep_2,,11,,,,overclaim,,302-6/100-1-6,,Dragendorff 37,,"Amor Lutz P1 and siing gure Fölzer 152/Lutz P48, divided by palm ornament Lutz V30.
Sao/Saturninus, AD 100-160.
498
La"
new_rep_2,,13,,,,overclaim,,Terra sigillata,,,,"Decorated terra sigillata, cont."
new_rep_2,,20,,,,overclaim,,Probably ware,,,,"Probably ware with ovolo A2, AD 120-190.
--/27-2-24, Drag. 37 (Fig. 22.7)."
new_rep_2,,24,,,,overclaim,,--/0-0-0/10406,,Dragendorff 37,,"Argonne?, AD 120-220.
500
Trier
--/0-0-0/10406, Drag. 37 (Fig. 22.8)."
new_rep_2,,30,,,,overclaim,,Terra sigillata,,,,"Decorated terra sigillata, cont."
new_rep_2,,37,,,,overclaim,,Terra sigillata,,,,"Decorated terra sigillata, cont."
new_rep_2,,38,,,,overclaim,,Terra sigillata,,,,{z} NoTS (Names on Terra Sigillata):
new_rep_2,,45,,,,overclaim,,Terra sigillata,,,,Stamps on terra sigillata.
new_rep_2,,46,,,,overclaim,,Terra sigillata cup,,Dragendorff 27,,"East Gaul
IANVA[RIVS.F]
--/95-2-9/10948, cup, probably Drag. 27 (Fig. 22.10)."
new_rep_2,,47,,,,overclaim,,Terra sigillata plate,,Dragendorff 18/31,,"This stamp is recorded mainly on dishes Drag. 18/31 and cups Drag. 27.
La Madeleine, AD 125-160.
IV[---]?
319-13/110-2-1"
new_rep_2,,48,,,,overclaim,,Terra sigillata cup,,Dragendorff 27,,"This stamp is recorded mainly on dishes Drag. 18/31 and cups Drag. 27.
La Madeleine, AD 125-160.
IV[---]?
319-13/110-2-1"
new_rep_2,,50,,,,overclaim,,Terra sigillata plate,,Dragendorff 31,,"This stamp is recorded mainly on dishes Drag. 18/31 and cups Drag. 27.
La Madeleine, AD 125-160.
IV[---]?
319-13/110-2-1"
new_rep_2,,52,,,,overclaim,,Terra sigillata plate,,Dragendorff 31,,"Trier? AD 100-270.
M[IIRCOF] (?)
--/0-0-0/10402, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,,54,,,,overclaim,,Terra sigillata plate,,Dragendorff 31,,"Lavoye, AD 150-165.
TOCCIVS
--/1932-11.3/13042, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,,57,,,,overclaim,,21-3-5/3776,,Dragendorff 27,,"South Gaul, AD 90-120.
P
21-3-5/3776, Drag. 27 (Fig. 22.11)."
new_rep_2,,59,,,,overclaim,,16-3-7/2427+2428,,Dragendorff 37,,"South Gaul, rst century-beginning second century AD.
X ?
16-3-7/2427+2428, Drag. 37 (Fig. 22.11)
Possible gravto, placed"
new_rep_2,,64,,,,overclaim,,Terra sigillata,,,,Graffiti on terra sigillata.
new_rep_3,0,0,0.980,0.870,0.980,same,Terra sigillata,Terra sigillata,,,"Among the pottery, terra sigillata dates from the 2nd century","Among the pottery, terra
sigillata dates from the 2nd century, painted cups from
the 2nd and 3rd centuries, amphorae (of"
new_rep_3,1,1,0.980,0.860,0.980,same,Painted cup,Painted cups,,,painted cups from the 2nd and 3rd centuries,"Among the pottery, terra
sigillata dates from the 2nd century, painted cups from
the 2nd and 3rd centuries, amphorae (of"
new_rep_3,2,2,0.980,0.840,0.980,same,Amphorae,Amphorae,,,amphorae (of which one comes from Campania),"Among the pottery, terra
sigillata dates from the 2nd century, painted cups from
the 2nd and 3rd centuries, amphorae (of"
new_rep_3,4,4,0.950,0.790,0.940,same,mortaria,Mortaria,,,"Other pottery derives from dolia, mortaria and jugs","Other pottery
derives from dolia, mortaria and jugs."
new_rep_3,5,5,0.950,0.760,0.940,same,jugs,jugs,,,"Other pottery derives from dolia, mortaria and jugs","Other pottery
derives from dolia, mortaria and jugs."
new_rep_3,3,3,0.940,0.780,0.920,same,Dolia,Dolia,,,"Other pottery derives from dolia, mortaria and jugs","Other pottery
derives from dolia, mortaria and jugs."
new_rep_4,0,4,0.990,0.900,0.990,same,Argonnian terra sigillata bowl,Argonnian terra sigillata bowl,Chenet 320,Chenet 320,"Two fragments are Argonne Ware decorated with roller-stamps, these bowls of type Chenet 320 date to A.D.320-410.","The terra sigillata comprises cups bowls Drag.
37, Drag. 33, plates Drag.18/31 and mortaria Drag. 45. Two
fragments are "
new_rep_4,1,2,0.990,0.900,0.990,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,plates Drag.18/31,"The terra sigillata comprises cups bowls Drag.
37, Drag. 33, plates Drag.18/31 and mortaria Drag. 45. Two
fragments are "
new_rep_4,2,1,0.990,0.860,0.980,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 33,Dragendorff 33,"The terra sigillata comprises cups bowls Drag.37,Drag.33,","The terra sigillata comprises cups bowls Drag.
37, Drag. 33, plates Drag.18/31 and mortaria Drag. 45. Two
fragments are "
new_rep_4,3,0,0.990,0.880,0.980,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"The terra sigillata comprises cups bowls Drag. 37,","The terra sigillata comprises cups bowls Drag.
37, Drag. 33, plates Drag.18/31 and mortaria Drag. 45. Two
fragments are "
new_rep_4,4,3,0.970,0.860,0.960,same,Terra sigillata mortarium,Terra sigillata mortarium,Dragendorff 45,Dragendorff 45,band mortaria Drag. 45,"The terra sigillata comprises cups bowls Drag.
37, Drag. 33, plates Drag.18/31 and mortaria Drag. 45. Two
fragments are "
new_rep_4,,5,,,,overclaim,,Terra sigillata,,,,"Only terra sigillata has been
collected."
new_rep_4,,6,,,,overclaim,,Terra sigillata,,,,collected. The terra sigillata comprises cups bowls Drag.
new_rep_4,,7,,,,overclaim,,Mortaria,,,,"37, Drag. 33, plates Drag.18/31 and mortaria Drag. 45. Two"
new_rep_5,4,7,0.940,0.650,0.790,same,Pottery,Pottery,,,24 aardewerk Romeinse tijd,aardewerk Romeinse tijd
new_rep_5,3,4,0.930,0.650,0.700,same,Pottery,Pottery,,,21 aardewerk Romeinse tijd,"Romeinse tijd en Middeleeuwen
In het zuidelijke deel van het plangebied is een relatief groot aantal fragmenten aardewer"
new_rep_5,6,8,0.930,0.700,0.860,same,Pottery,Pottery,,,26 aardewerk Romeinse tijd t/m Volle Middeleeuwen,aardewerk Romeinse tijd t/m Volle Middeleeuwen
new_rep_5,0,10,0.920,0.680,0.770,same,Pottery,Pottery,,,7 aardewerk Romeinse tijd 1 bodemfragment,aardewerk Romeinse tijd
new_rep_5,1,9,0.920,0.690,0.850,same,Pottery,Pottery,,,12 aardewerk Romeinse tijd t/m Volle Middeleeuwen,aardewerk Romeinse tijd t/m Volle Middeleeuwen
new_rep_5,2,13,0.910,0.700,0.820,same,Pottery,Pottery,,,20 aardewerk Romeinse tijd t/m Volle Middeleeuwen,aardewerk Romeinse tijd t/m Volle Middeleeuwen
new_rep_5,5,3,0.910,0.600,0.690,different,Pottery,Pottery,,,25 aardewerk Romeinse tijd,"Dit type (zacht) aardewerk verweert zeer snel als het aan de oppervlakte komt en is
daardoor vaak lastig of niet te vind"
new_rep_5,7,,,0.410,0.480,missing,Painted ware,,,,29 aardewerk Romeinse tijd,
new_rep_5,,0,,,,overclaim,,Bowl,,,,"• kaartblad topografische kaart Nederland, schaal 1:25.000: 62A"
new_rep_5,,1,,,,overclaim,,Pottery,,,,"Tijdens de oppervlaktekartering is het oppervlak systematisch afgezocht, waarbij gelet is op
aardewerkscherven, voorwerp"
new_rep_5,,2,,,,overclaim,,Pottery,,,,"Neolithicum, Bronstijd en IJzertijd (eerste landbouwers)
Prehistorisch aardewerk is nergens aangetroffen."
new_rep_5,,5,,,,overclaim,,Pingsdorf ware,,,,waarschijnlijk Pingsdorf
new_rep_5,,6,,,,overclaim,,Andenne ware,,,,mogelijk Andenne (deels geglazuurd)
new_rep_5,,11,,,,overclaim,,Pottery,,,,aardewerk Romeinse tijd
new_rep_5,,12,,,,overclaim,,Pottery,,,,aardewerk Romeinse tijd
new_rep_5,,14,,,,overclaim,,Pottery,,,,aardewerk Romeinse tijd
new_rep_5,,15,,,,overclaim,,geverfd aardewerk,,,,"geverfd aardewerk, techniek B, raadjesversiering"
new_rep_5,,16,,,,overclaim,,Pottery,,,,Prehistorisch aardewerk (Neolithicum t/m IJzertijd) is nergens aangetroffen.
new_rep_5,,17,,,,overclaim,,Pottery,,,,betekent niet dat dit nooit aanwezig is geweest. Dit type (zacht) aardewerk verweert zeer snel
